,0,1,2,3
0,PPOPCHG_CUM2021,NAME,STATE,state
1,0.6891530005,Oklahoma,40,40
2,0.1115470578,Nebraska,31,31
3,-0.9426422980,Hawaii,15,15
4,0.9822176759,South Dakota,46,46
5,0.9315510126,Tennessee,47,47
6,1.2683380285,Nevada,32,32
7,-0.0776851430,New Mexico,35,35
8,0.0849431523,Iowa,19,19
9,-0.1122578190,Kansas,20,20
10,-2.8272266490,District of Columbia,11,11
11,1.3121611720,Texas,48,48
12,0.2156651118,Missouri,29,29
13,0.4770674250,Arkansas,05,05
14,-0.2631649190,Michigan,26,26
15,0.8321421908,New Hampshire,33,33
16,1.0706949488,North Carolina,37,37
17,-0.1646771950,Ohio,39,39
18,1.4121531526,South Carolina,45,45
19,0.3383889427,Wyoming,56,56
20,-0.7597382410,California,06,06
21,-0.5321565820,North Dakota,38,38
22,-0.7237389160,Louisiana,22,22
23,-0.1957999260,Maryland,24,24
24,1.3572430067,Delaware,10,10
25,-0.2971998120,Pennsylvania,42,42
26,0.8183229356,Georgia,13,13
27,0.2100179928,Oregon,41,41
28,0.0157014097,Minnesota,27,27
29,0.6643037740,Colorado,08,08
30,-0.2353753270,New Jersey,34,34
31,0.0789642588,Kentucky,21,21
32,0.4336117009,Washington,53,53
33,0.7257998809,Maine,23,23
34,0.3876674177,Vermont,50,50
35,3.3612526956,Idaho,16,16
36,0.3014798554,Indiana,18,18
37,1.8488782310,Montana,30,30
38,-1.8084822380,New York,36,36
39,-0.6783583300,Puerto Rico,72,72
40,-0.0096230000,Connecticut,09,09
41,1.1279547345,Florida,12,12
42,0.1260630816,Virginia,51,51
43,-0.6428809900,Massachusetts,25,25
44,-1.1007915080,Illinois,17,17
45,-0.3820646420,Mississippi,28,28
46,1.7452837180,Arizona,04,04
47,2.0283248401,Utah,49,49
48,0.0371582081,Wisconsin,55,55
49,0.3104525047,Alabama,01,01
50,-0.5997047470,West Virginia,54,54
51,-0.1612022830,Rhode Island,44,44
52,-0.0979013920,Alaska,02,02
